
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
A6:C9:EB:F7:40:40, 2024-03-17 20:10:29, 2024-03-17 20:10:58, 13, 360, WPA2, CCMP, PSK, -77,        4,        0,   0.  0.  0.  0,   0, , 
B6:A7:B9:6D:08:AA, 2024-03-17 20:10:30, 2024-03-17 20:10:38,  4, 360, WPA2, CCMP, PSK, -77,        2,        0,   0.  0.  0.  0,   0, , 
AE:22:15:B0:CA:32, 2024-03-17 20:10:50, 2024-03-17 20:10:50,  6, 130, WPA2, CCMP TKIP, MGT, -77,        1,        0,   0.  0.  0.  0,   5, Ziggo, 
00:31:92:31:8A:32, 2024-03-17 20:10:30, 2024-03-17 20:10:59,  3, 270, WPA2, CCMP, PSK, -74,       23,        0,   0.  0.  0.  0,  11, MOVRINLAUFS, 
B0:A7:B9:6D:08:AA, 2024-03-17 20:10:30, 2024-03-17 20:10:56,  4, 360, WPA2, CCMP, PSK, -77,        6,        0,   0.  0.  0.  0,  12, harrijregina, 
6A:A2:22:07:A8:87, 2024-03-17 20:10:49, 2024-03-17 20:10:57, 11, 195, WPA2, CCMP TKIP, PSK, -76,        2,        0,   0.  0.  0.  0,  13, , 
A2:C9:EB:F7:40:40, 2024-03-17 20:10:29, 2024-03-17 20:10:58, 13, 360, WPA2, CCMP, PSK, -74,        5,        3,   0.  0.  0.  0,   6, 1078RR, 
04:A2:22:07:A8:85, 2024-03-17 20:10:38, 2024-03-17 20:10:53, 11, 195, WPA2, CCMP, PSK, -76,        4,        0,   0.  0.  0.  0,  13, VRV951707A885, 
C0:C9:E3:28:8D:BE, 2024-03-17 20:10:30, 2024-03-17 20:10:56,  9, 270, WPA2, CCMP, PSK, -76,       19,        0,   0.  0.  0.  0,  15, ophetveldjes(4), 
06:31:92:31:8A:32, 2024-03-17 20:10:29, 2024-03-17 20:10:59,  3, 270, WPA2, CCMP, PSK, -75,       17,        0,   0.  0.  0.  0,   0, , 
C6:C9:E3:28:8D:BE, 2024-03-17 20:10:30, 2024-03-17 20:10:56,  9, 270, WPA2, CCMP, PSK, -75,       20,        0,   0.  0.  0.  0,   0, , 
80:2A:A8:41:53:6C, 2024-03-17 20:10:35, 2024-03-17 20:10:57,  6, 195, WPA2, CCMP, PSK, -75,       11,        0,   0.  0.  0.  0,   6, Douben, 
60:8D:26:17:E9:F1, 2024-03-17 20:10:53, 2024-03-17 20:10:53,  6, 720, WPA2, CCMP, PSK, -75,        0,        0,   0.  0.  0.  0,  12, fam. Pisters, 
62:8D:26:27:E8:15, 2024-03-17 20:10:35, 2024-03-17 20:10:57,  6, 720, WPA2, CCMP, PSK, -74,        7,        3,   0.  0.  0.  0,   0, , 
60:8D:26:17:E8:15, 2024-03-17 20:10:31, 2024-03-17 20:10:57,  6, 720, WPA2, CCMP, PSK, -73,       10,        5,   0.  0.  0.  0,  12, fam. Pisters, 
4C:BC:E9:E8:A4:5F, 2024-03-17 20:10:38, 2024-03-17 20:10:57, 11,  65, WPA2, CCMP, PSK, -73,        8,        0,   0.  0.  0.  0,  25, AT_401_RAC_056905_WW_a45f, 
72:97:41:A2:DF:F9, 2024-03-17 20:10:31, 2024-03-17 20:10:57,  6, 720, WPA2, CCMP, PSK, -69,       15,        2,   0.  0.  0.  0,   0, , 
70:97:41:92:DF:F9, 2024-03-17 20:10:31, 2024-03-17 20:10:57,  6, 720, WPA2, CCMP, PSK, -69,       15,        5,   0.  0.  0.  0,  12, fam. Pisters, 
44:05:3F:76:D3:43, 2024-03-17 20:10:31, 2024-03-17 20:10:57,  6, 195, WPA2, CCMP, PSK, -69,       17,        0,   0.  0.  0.  0,  12, Ziggo9727761, 
B8:BE:F4:56:2B:37, 2024-03-17 20:10:28, 2024-03-17 20:10:58,  1, 360, WPA2, CCMP, PSK, -68,       27,        0,   0.  0.  0.  0,  10, devolo-777, 
C6:C9:E3:28:8E:36, 2024-03-17 20:10:30, 2024-03-17 20:10:56,  9, 270, WPA2, CCMP, PSK, -65,       21,       13,   0.  0.  0.  0,   0, , 
C0:C9:E3:28:8E:36, 2024-03-17 20:10:30, 2024-03-17 20:10:56,  9, 270, WPA2, CCMP, PSK, -65,       18,        0,   0.  0.  0.  0,  15, ophetveldjes(4), 
D8:B6:B7:B1:CA:C8, 2024-03-17 20:10:28, 2024-03-17 20:10:58,  1, 130, WPA2, CCMP, PSK, -59,       26,        0,   0.  0.  0.  0,   9, ophetveld, 
C0:C9:E3:28:8E:AE, 2024-03-17 20:10:30, 2024-03-17 20:10:56,  9, 270, WPA2, CCMP, PSK, -51,       21,        0,   0.  0.  0.  0,  15, ophetveldjes(4), 
B0:F2:08:01:B4:BF, 2024-03-17 20:10:30, 2024-03-17 20:10:57, 11, 360, WPA2, CCMP, PSK, -50,       19,       12,   0.  0.  0.  0,  11, Muermansjes, 
C6:C9:E3:28:8E:AE, 2024-03-17 20:10:30, 2024-03-17 20:10:56,  9, 270, WPA2, CCMP, PSK, -50,       19,        0,   0.  0.  0.  0,   0, , 
66:CB:E9:8E:D5:57, 2024-03-17 20:10:31, 2024-03-17 20:10:57, 11,  65, WPA2, CCMP, PSK, -48,       19,        0,   0.  0.  0.  0,  23, [LG_Wall-Mount A/C]d557, 
B8:BE:F4:65:59:87, 2024-03-17 20:10:28, 2024-03-17 20:10:58,  1, 360, WPA2, CCMP, PSK, -37,       21,        0,   0.  0.  0.  0,  10, devolo-777, 
04:17:B6:B8:EF:20, 2024-03-17 20:10:42, 2024-03-17 20:10:42,  6,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
D8:47:32:60:20:D6, 2024-03-17 20:10:58, 2024-03-17 20:10:58,  2, 270, WPA2, CCMP TKIP, PSK, -73,        1,        0,   0.  0.  0.  0,  10, Ziggo67D23, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
28:B7:7C:10:0D:D2, 2024-03-17 20:10:49, 2024-03-17 20:10:49, -78,        2, (not associated) ,
D8:47:32:60:20:D6, 2024-03-17 20:10:37, 2024-03-17 20:10:40, -76,        2, (not associated) ,Ziggo67D23
04:17:B6:D0:0E:33, 2024-03-17 20:10:42, 2024-03-17 20:10:59, -76,        3, 04:17:B6:B8:EF:20,OCEAN_B8EF20
D4:F5:47:A1:22:8E, 2024-03-17 20:10:46, 2024-03-17 20:10:50, -74,        2, 70:97:41:92:DF:F9,
50:1E:2D:2D:49:EE, 2024-03-17 20:10:42, 2024-03-17 20:10:42, -70,        1, 04:A2:22:07:A8:85,
44:05:3F:76:D3:43, 2024-03-17 20:10:50, 2024-03-17 20:10:50, -60,        2, (not associated) ,
A6:DF:77:F0:32:E2, 2024-03-17 20:10:46, 2024-03-17 20:10:54, -18,        3, B0:F2:08:01:B4:BF,Muermansjes
AC:67:84:0D:C3:D6, 2024-03-17 20:10:43, 2024-03-17 20:10:43,  -1,        1, 70:97:41:92:DF:F9,
08:38:E6:35:D2:63, 2024-03-17 20:10:46, 2024-03-17 20:10:46,  -1,        2, 60:8D:26:17:E8:15,
D8:8C:79:2A:3F:BD, 2024-03-17 20:10:57, 2024-03-17 20:10:57,  -1,        1, 70:97:41:92:DF:F9,

